zip_code,centroid_longitude,centroid_latitude,internal_point_latitude,internal_point_longitude,area,convex_hull_area
02135,-71.15381279467735,42.34988444710899,+42.3496885,-071.1539638,0.0008081790395000665,0.0012167874415001
02136,-71.12934539685814,42.2552927949703,+42.2550833,-071.1292203,0.0013281611020000104,0.0016955167039999425
02138,-71.13449505931867,42.38003081045922,+42.3796372,-071.1351523,0.0008675642965000071,0.0012173445935000425
76059,-97.32689311037493,32.39250068281561,+32.3925876,-097.3275399,0.0006847981310000195,0.001138376435500143
76060,-97.21585118994284,32.64078515173298,+32.6396485,-097.2174763,0.0018493414265000137,0.002290289330499883
76061,-97.18838801235015,32.503988096581104,+32.5039878,-097.1883887,0.000375119199999975,0.0005146007204998921
76063,-97.1427708220005,32.56976750232965,+32.5707396,-097.1448372,0.01293110353949982,0.01577050160149963
76064,-97.0355090575824,32.3013806898965,+32.3023672,-097.0372190,0.007508841042500065,0.010821427531500113
76065,-96.98897785011481,32.470501284118136,+32.4694099,-096.9906647,0.024736277964499873,0.029435169881500897
76066,-97.99504887548156,32.7072627862708,+32.7044558,-097.9931485,0.021789726983500003,0.028254305483000355
76067,-98.12754909588818,32.80005290288965,+32.7997409,-098.1269324,0.04407229397299987,0.05821016733599946
76070,-97.65430180348812,32.26246814431797,+32.2661421,-097.6551417,0.009150756642999958,0.0140872364135
76071,-97.47929494556347,33.005458995618085,+33.0008701,-097.4444836,0.0019918287645000476,0.002824862757999907
76073,-97.72734982269542,33.10347380376434,+33.0988555,-097.7235462,0.021105213696000047,0.027586053581000802
76077,-97.70542793772019,32.28214177533124,+32.2782609,-097.6915390,0.0018825049964999612,0.0025991688754999445
76078,-97.46658516036221,33.08917788745634,+33.0933651,-097.4627925,0.016866507787999994,0.025221851658499696
76082,-97.71841785756868,32.97049595853338,+32.9700435,-097.7337479,0.025141286527000227,0.03415960462000081
76084,-97.08946444642748,32.4321908501155,+32.4263219,-097.0903280,0.012690010292000068,0.018608880952999885
76085,-97.7007461826404,32.85030842623482,+32.8613449,-097.6921726,0.015981988774999813,0.02154507142350003
76086,-97.78993389236537,32.75480969765145,+32.7549637,-097.7910849,0.0036674963955000083,0.004797893218500117
76087,-97.78317809335688,32.67076584059001,+32.6826100,-097.7825562,0.047382957458499624,0.07167001015550051
76088,-97.90144173347021,32.84593065605418,+32.8513098,-097.9016353,0.03981674254099996,0.05540364638700001
76092,-97.14857886047076,32.95998688689221,+32.9598733,-097.1484333,0.006393978701500167,0.009143986883000612
76093,-97.39488570170415,32.21723910235657,+32.2104964,-097.3925713,0.009248512422000012,0.012468492146499493
76102,-97.32977133605698,32.75922941966399,+32.7591042,-097.3297558,0.0011240108360000098,0.0017420642980001061
76103,-97.26546211085395,32.75207187802788,+32.7489472,-097.2726376,0.0013675484820000017,0.001933057340999935
76104,-97.31781033240121,32.7286897953678,+32.7286895,-097.3178096,0.0014602576794999873,0.0018534515855000147
76105,-97.2694327390287,32.724045951355585,+32.7240465,-097.2694323,0.0013879161105000142,0.0018223876175000521
76106,-97.35250374567977,32.81449689760251,+32.8166842,-097.3596329,0.0036395676595000065,0.004393178377500222
76107,-97.38205265178546,32.741724098670296,+32.7420578,-097.3817300,0.00271671370700007,0.003546278887999743
76108,-97.52195034987542,32.775941257981806,+32.7875480,-097.5237908,0.011699182085000061,0.013750117240499722
76109,-97.38390313580194,32.70100811341261,+32.7006500,-097.3869650,0.002030231094500043,0.002275859095000009
76110,-97.3388865065402,32.706951349746596,+32.7078309,-097.3382651,0.0014398161549999421,0.0021445759884999856
76111,-97.29986513507934,32.7781127374175,+32.7784988,-097.3001116,0.0020884839874999563,0.002639713417500083
76112,-97.21845282819541,32.74807105194344,+32.7474265,-097.2176583,0.002900453208000051,0.004043969800999985
76114,-97.40267409067562,32.7744128014708,+32.7744937,-097.4022756,0.0022882961114999508,0.0038251818705002157
76115,-97.33074525321344,32.67878757751076,+32.6784998,-097.3305107,0.0011644743265000264,0.001454124087999926
76116,-97.44639170584283,32.72167307030395,+32.7207233,-097.4470329,0.003034672277499942,0.003933306437500045
76117,-97.26756745236932,32.803671637059466,+32.8034358,-097.2673761,0.0027164880660000053,0.003347119967000071
76118,-97.20781092216133,32.79962133276026,+32.8004344,-097.1927621,0.0019308019564999944,0.0034953545690001257
76119,-97.26212922196575,32.69063964766314,+32.6911473,-097.2626248,0.004383560258999958,0.004969207937000099
76120,-97.17821699071992,32.77223543380422,+32.7759149,-097.1809627,0.002543429764499952,0.0034144397730001535
76123,-97.39308835117156,32.61900093348299,+32.6193435,-097.3939580,0.002020116258000025,0.0027545478585001746
76126,-97.51233657020978,32.63383431904489,+32.6359191,-097.5116258,0.017271912462999986,0.021502069314999577
76127,-97.43011991978445,32.77707645158065,+32.7754095,-097.4356051,0.0005463848345000203,0.0007890049704999415
10304,-74.09335956673239,40.60704552847126,+40.6084966,-074.0932392,0.0010700698145000428,0.0014210188339996914
10305,-74.07513260748888,40.596629600042796,+40.5966907,-074.0748662,0.0011413363360000062,0.001495045432499935
10306,-74.12545767372944,40.57152429715283,+40.5717679,-074.1259504,0.0020751482404999864,0.0028408067810001035
10307,-74.23851332504181,40.50740423307783,+40.5091830,-074.2377853,0.0005421107885000043,0.0007648794294999914
10308,-74.1504105076171,40.551509413751184,+40.5518840,-074.1476456,0.0005434487539999919,0.000630817843999918
10309,-74.22063773258618,40.53126007556044,+40.5313464,-074.2198570,0.0018602426530000711,0.002285515491500104
10310,-74.11614789096028,40.63264880956112,+40.6326485,-074.1161481,0.000494979543000022,0.0005756159414999824
10311,-74.17953385137226,40.60523060495963,+40.6052306,-074.1795339,1.2933569500001761e-05,1.3586388500000753e-05
10312,-74.18153456055295,40.54485324001125,+40.5452374,-074.1804434,0.0021540242964999327,0.0028236798769995936
10314,-74.16652195116806,40.599282140318856,+40.5992625,-074.1657480,0.003953571606499981,0.005285654005499625
17360,-76.7547405100204,39.851967204410336,+39.8543723,-076.7503904,0.007356041797500277,0.010341261334000674
17361,-76.6770661721073,39.7655176029965,+39.7655159,-076.6770653,0.0008494235069999152,0.001038097244500057
13061,-75.75683751323845,42.86189360415328,+42.8718510,-075.7620815,0.00769250144849982,0.010185002554499776
13062,-76.38420447804837,42.485058437011446,+42.4840947,-076.3843763,5.30070470000139e-05,0.0001407450750000111
13063,-75.97702864608563,42.8462764100604,+42.8478488,-075.9779606,0.009948013031000003,0.012913733047499652
13064,-76.70982760387595,43.32918147799588,+43.3289957,-076.7119146,0.0003784725169999707,0.0005369038699999215
13066,-76.0031788499296,43.03271708763354,+43.0324750,-076.0006673,0.004366908178499987,0.0056432316480001694
13068,-76.3586755467847,42.499780298972524,+42.4924307,-076.3591992,0.01459296590449985,0.022844919562999926
13069,-76.37918784261852,43.33215826141371,+43.3292765,-076.3806549,0.03188092589100015,0.04468753366100028
13071,-76.54110945886356,42.67795376416731,+42.6751142,-076.5425788,0.007066579203000015,0.008839448588499773
13072,-75.76408360945682,42.763253374014,+42.7622103,-075.7639888,0.013406664176500008,0.016649698103500428
13073,-76.39787216044091,42.58517033816715,+42.5836700,-076.3879231,0.01562702480100004,0.01962208620249975
13074,-76.54781232914557,43.30986039191327,+43.3109165,-076.5498428,0.012250158892999937,0.015391197583000277
13076,-76.15260465392902,43.35585079707512,+43.3537151,-076.1493089,0.0044041905879999505,0.004977049596000104
13077,-76.19592269087613,42.71390526928167,+42.7279725,-076.2110425,0.020209712422500012,0.029301570529998704
13078,-76.06158998509369,42.96084528718429,+42.9583986,-076.0611015,0.011253360896000127,0.013710430722000233
13080,-76.47895015156041,43.08431407497093,+43.0932101,-076.4852579,0.008752054687499893,0.012595632008499473
13081,-76.62120211943945,42.67357538231052,+42.6736171,-076.6271522,0.00823999406550001,0.009446704024500263
13082,-75.95327105765519,43.10054173951522,+43.1027302,-075.9598885,0.006868367017000026,0.009114610692999667
13083,-75.98120539493834,43.648482867846994,+43.6457748,-075.9816803,0.01678462778149988,0.020397409116499298
13084,-76.11308103294779,42.88898400233451,+42.8805413,-076.1244743,0.012277422010499677,0.019928059262999884
13087,-76.15585553992149,42.706455839862045,+42.7085968,-076.1540500,0.0001062287990000276,0.00014951410450005106
13088,-76.18716452497881,43.11000223707504,+43.1124210,-076.1894574,0.0022826100774999475,0.0033712511724999557
13090,-76.21356513829167,43.151715799379446,+43.1530836,-076.2124024,0.004353438777500185,0.006499133607000402
13092,-76.4234061008861,42.65168697070689,+42.6545632,-076.4192954,0.013828351943499973,0.01641996945800014
13101,-76.06724513833117,42.59851636511979,+42.5891925,-076.0560731,0.011111163495499862,0.01468753468199938
13102,-76.29245648209164,42.55264727446544,+42.5503045,-076.2920022,1.684222800001213e-05,3.214692349999061e-05
13103,-76.10826538019396,43.32721326789808,+43.3257596,-076.1095447,0.00010255051249999834,0.0002921645085000544
13104,-75.9557220711405,42.96315707311445,+42.9630302,-075.9484391,0.013510496617499918,0.018643436780499133
13108,-76.33097134303645,42.97328108798834,+42.9648446,-076.3311132,0.008345949699000144,0.010176989818499809
13110,-76.28533193437201,42.89314224319203,+42.8953976,-076.2803643,0.007016994027500043,0.010439233431999609
13111,-76.62043380923089,43.25869804050979,+43.2584882,-076.6142638,0.007665868476499957,0.011184134514500243
47524,-87.61266228692831,38.486587922358844,+38.4947699,-087.6108872,0.01430687924599987,0.022526960001500392
47525,-86.56369982178124,38.03116544374115,+38.0323591,-086.5597007,0.0077967222760000525,0.010006524134999752
47527,-86.77970767425965,38.47206458979498,+38.4688585,-086.7859238,0.014440545333000265,0.01925885577500066
56470,-95.09813429094638,47.02292258698588,+47.0274997,-095.0985763,0.13104919967100007,0.1715942622120006
47528,-87.25695024255661,38.837832117802265,+38.8331746,-087.2533512,0.005059536223499918,0.006437619143500444
47529,-87.07980378138917,38.860245454541584,+38.8549667,-087.0800013,0.008593474739000104,0.011055186961499637
47531,-86.85223791096819,38.039002283053996,+38.0397102,-086.8514280,0.009952106390500093,0.01686158441100018
47532,-86.86043077316019,38.221197516456364,+38.2213484,-086.8605632,0.018715279769000046,0.02407518757799984
56472,-94.35575621291848,46.57397234758684,+46.5737208,-094.3827183,0.05397514479149995,0.07054607905899944
47535,-87.30766963499443,38.872348016843986,+38.8723478,-087.3076702,0.0009407538534999583,0.0011788115665000143
31314,-81.63184714417623,31.87009436082043,+31.8701541,-081.6310755,0.002334047041499956,0.0031546568405001027
52638,-91.24573273162618,40.79853655254326,+40.8014531,-091.2423271,0.009441550156000122,0.011883399912999871
31315,-81.59015404067952,31.893828211394197,+31.8928729,-081.5889776,0.0029507710300000108,0.003941976909500043
52639,-91.45644454257928,40.52983645376416,+40.5327100,-091.4603873,0.012485042570000195,0.019513975986500252
52640,-91.28480709931962,41.09971238469524,+41.1012374,-091.2804660,0.020218874614999754,0.026271413020500074
